INLINE MovingMapSpriteTable,Graphics,Animation
Ephraim Lord,0x81c33cc,0x81c3d7c
Eirika Lord,0x81c3ed4,0x81c46cc
Ephraim Master Lord,0x81c4824,0x81c52b4
Eirika Master Lord,0x81c5414,0x81c5e84
Socialknight,0x81c5fe4,0x81c692c
Socialknight (F),0x81c5fe4,0x81c692c
Paladin,0x81c6a84,0x81c7428
Paladin (F),0x81c6a84,0x81c7428
Armour Knight,KnightMv|IsPointer,0x81c7e74
Armour Knight (F),KnightMv|IsPointer,0x81c7e74
General,0x81c7fcc,0x81c8a80
General (F),0x81c7fcc,0x81c8a80
Thief,0x81c8be0,0x81c945c
Mamkute,0x81c95b4,0x81ca124
Mercenary,0x81ca27c,0x81caa20
Mercenary (F),0x81cab78,0x81cb2e0
Hero,0x81cb438,0x81cbd94
Hero (F),0x81cbef4,0x81cc874
Swordfighter,0x81cc9d4,0x81cd1bc
Swordfighter (F),0x81cd314,0x81cdb58
Swordmaster,0x81cdcb0,0x81ce4fc
Swordmaster (F),0x81ce65c,0x81ceee0
Assassin,0x81cf040,0x81cf7e8
Assassin (F),0x81cf940,0x81d0160
Archer,0x81d02b8,0x81d0a7c
Archer (F),0x81d0bd4,0x81d13c8
Sniper,0x81d1520,0x81d1d48
Sniper (F),0x81d1ea0,0x81d2714
Forrest Knight,0x81d286c,0x81d3194
Forrest Knight (F),0x81d286c,0x81d3194
Dragon Knight,0x81d32ec,0x81d403c
Dragon Knight (F),0x81d419c,0x81d4eec
Dragon Master,0x81d504c,0x81d5e58
Dragon Master (F),0x81d5fc0,0x81d6d6c
Wyvern Knight,0x81d6ec4,0x81d7cc8
Wyvern Knight (F),0x81d6ec4,0x81d7cc8
Mage,0x81d7e28,0x81d8668
Mage (F),0x81d87c0,0x81d908c
Sage,0x81d91e4,0x81d9b58
Sage (F),0x81d9cb0,0x81da694
Mage Knight,0x81da7ec,0x81db0f8
Mage Knight (F),0x81db250,0x81dbbcc
Bishop,0x81dbd24,0x81dc590
Bishop (F),0x81dc6f0,0x81dcf44
Shaman,0x81dd0a4,0x81dd888
Shaman (F),0x81dd0a4,0x81dd888
Druid,0x81dd9e0,0x81de2c4
Druid (F),0x81dd9e0,0x81de2c4
Summoner,0x81de41c,0x81dec38
Summoner (F),0x81de41c,0x81dec38
Rogue,0x81ded90,0x81df548
Gorgon Egg,0x81df6a0,0x81dfacc
Great Knight,0x81dfc24,0x81e058c
Great Knight (F),0x81dfc24,0x81e058c
Trainee Soldier (2),0x81e06e4,0x81e0e40
Trainee Fighter (3),0x81e0f98,0x81e173c
Trainee Mage (3),0x81e189c,0x81e2088
Trainee Soldier (3),0x81e06e4,0x81e0e40
Mamkute,0x81e21e0,0x81e2f34
Mamkute (F),0x81e308c,0x81e39ec
Trainee Fighter (1),0x81e0f98,0x81e173c
Trainee Mage (1),0x81e189c,0x81e2088
Fighter,0x81e3b44,0x81e4340
Warrior,0x81e4498,0x81e4ea4
Mountain Thief,0x81e4ffc,0x81e582c
Pirate,PirateMv|IsPointer,0x81e62b4
Berserker,0x81e640c,0x81e6df4
Monk,0x81e6f4c,0x81e7638
Priest,0x81e7790,0x81e7f58
Bard,0x81e80b0,0x81e8840
Trainee Soldier (1),0x81e06e4,0x81e0e40
Pegasus Knight,0x81e89d0,0x81e96f0
Falcon Knight,0x81e9848,0x81ea5dc
Sister,0x81ea734,0x81eaea0
Troubadour,0x81eaff8,0x81eb99c
Valkyrie,0x81ebaf4,0x81ec4fc
Dancer,0x81ec654,0x81ed1c8
Soldier,0x81ed418,0x81edbc4
